"","Country","ReGroup","SubScenario","Amount","Share"
"144","Japan","Top 10%","Null",NA,NA
"145","Luxembourg","Bottom 50%","Explicit",3.79205505644199,0.405345838975532
"146","Luxembourg","Bottom 50%","Implicit_cons",22.7133794953072,0.354933761242954
"147","Luxembourg","Bottom 50%","Implicit_prod",0.0961033634915847,0.367012612224018
"148","Luxembourg","Bottom 50%","Null",NA,NA
"149","Luxembourg","Next 40%","Explicit",4.04154911996797,0.432015119614681
"150","Luxembourg","Next 40%","Implicit_cons",28.9760830703127,0.452798763493528
"151","Luxembourg","Next 40%","Implicit_prod",0.118264900509964,0.451646107832391
"152","Luxembourg","Next 40%","Null",NA,NA
"153","Luxembourg","Top 10%","Explicit",1.5215061807754,0.162639041409787
"154","Luxembourg","Top 10%","Implicit_cons",12.3038285086541,0.192267475263518
"155","Luxembourg","Top 10%","Implicit_prod",0.0474847630898599,0.181341279943591
"156","Luxembourg","Top 10%","Null",NA,NA
"157","Mexico","Bottom 50%","Explicit",125.023224322275,0.433745810499569
"158","Mexico","Bottom 50%","Implicit_cons",1276.8541834505,0.54853314480495
"159","Mexico","Bottom 50%","Implicit_prod",2222.10581307556,0.413242597544399
"160","Mexico","Bottom 50%","Null",NA,NA
"161","Mexico","Next 40%","Explicit",111.098142558778,0.385435219339231
"162","Mexico","Next 40%","Implicit_cons",806.362321871919,0.346411098464927
"163","Mexico","Next 40%","Implicit_prod",2117.21937624873,0.393736981139253
"164","Mexico","Next 40%","Null",NA,NA
"165","Mexico","Top 10%","Explicit",52.1193983226013,0.1808189701612
"166","Mexico","Top 10%","Implicit_cons",244.544716662681,0.105055756730123
"167","Mexico","Top 10%","Implicit_prod",1037.91768515169,0.193020421316349
"168","Mexico","Top 10%","Null",NA,NA
"169","Russian Federation","Bottom 50%","Explicit",4306.0075235628,0.30698754289815
"170","Russian Federation","Bottom 50%","Implicit_cons",2107.90998665568,0.313942794542098
"171","Russian Federation","Bottom 50%","Implicit_prod",6820.29783061254,0.298085656184706
"172","Russian Federation","Bottom 50%","Null",NA,NA
"173","Russian Federation","Next 40%","Explicit",6755.20016206038,0.481597463122931
"174","Russian Federation","Next 40%","Implicit_cons",3213.83173130734,0.478653890015232
"175","Russian Federation","Next 40%","Implicit_prod",11113.7604595633,0.485734298053525
"176","Russian Federation","Next 40%","Null",NA,NA
"177","Russian Federation","Top 10%","Explicit",2965.44461079075,0.211414993978919
"178","Russian Federation","Top 10%","Implicit_cons",1392.57064499525,0.207403315442669
"179","Russian Federation","Top 10%","Implicit_prod",4946.2705317733,0.21618004576177
"180","Russian Federation","Top 10%","Null",NA,NA
"181","South Africa","Bottom 50%","Explicit",0,NA
"182","South Africa","Bottom 50%","Implicit_cons",656.743918049978,0.43117784202079
"183","South Africa","Bottom 50%","Implicit_prod",1174.3780328702,0.230199838351163
"184","South Africa","Bottom 50%","Null",NA,NA
"185","South Africa","Next 40%","Explicit",0,NA
"186","South Africa","Next 40%","Implicit_cons",615.739678007838,0.404256968832397
"187","South Africa","Next 40%","Implicit_prod",2168.24944407152,0.425017036729117
"188","South Africa","Next 40%","Null",NA,NA
"189","South Africa","Top 10%","Explicit",0,NA
"190","South Africa","Top 10%","Implicit_cons",250.655707604062,0.164565189146813
"191","South Africa","Top 10%","Implicit_prod",1758.93141763371,0.34478312491972
"192","South Africa","Top 10%","Null",NA,NA
"193","Spain","Bottom 50%","Explicit",0,NA
"194","Spain","Bottom 50%","Implicit_cons",78.3129030707548,0.370322303636868
"195","Spain","Bottom 50%","Implicit_prod",118.616959843427,0.347561391037649
"196","Spain","Bottom 50%","Null",NA,NA
"197","Spain","Next 40%","Explicit",0,NA
"198","Spain","Next 40%","Implicit_cons",96.2737843502616,0.455254858426285
"199","Spain","Next 40%","Implicit_prod",159.160756660086,0.466359397984941
"200","Spain","Next 40%","Null",NA,NA
"201","Spain","Top 10%","Explicit",0,NA
"202","Spain","Top 10%","Implicit_cons",36.8855957810973,0.174422837936847
"203","Spain","Top 10%","Implicit_prod",63.5057600336656,0.18607921097741
"204","Spain","Top 10%","Null",NA,NA
"205","Turkiye","Bottom 50%","Explicit",322.623427505376,0.364664491667602
"206","Turkiye","Bottom 50%","Implicit_cons",1291.24305568297,0.366018188505727
"207","Turkiye","Bottom 50%","Implicit_prod",1248.46359134665,0.300868009379429
"208","Turkiye","Bottom 50%","Null",NA,NA
"209","Turkiye","Next 40%","Explicit",385.713553589429,0.435975893122795
"210","Turkiye","Next 40%","Implicit_cons",1661.01605509376,0.470834739353374
"211","Turkiye","Next 40%","Implicit_prod",1942.62963918362,0.468155512546593
"212","Turkiye","Next 40%","Null",NA,NA
"213","Turkiye","Top 10%","Explicit",176.376049313027,0.199359615209603
"214","Turkiye","Top 10%","Implicit_cons",575.552064275761,0.1631470721409
"215","Turkiye","Top 10%","Implicit_prod",958.445944211962,0.230976478073978
"216","Turkiye","Top 10%","Null",NA,NA
"217","United Kingdom","Bottom 50%","Explicit",1234.41658129435,0.58529365806909
"218","United Kingdom","Bottom 50%","Implicit_cons",689.990468395043,0.479781931827129
"219","United Kingdom","Bottom 50%","Implicit_prod",719.115339874364,0.401249010656229
"220","United Kingdom","Bottom 50%","Null",NA,NA
"221","United Kingdom","Next 40%","Explicit",687.279464428734,0.325870794306302
"222","United Kingdom","Next 40%","Implicit_cons",558.239542589696,0.388169487020557
"223","United Kingdom","Next 40%","Implicit_prod",764.731221035933,0.426701571839932
"224","United Kingdom","Next 40%","Null",NA,NA
"225","United Kingdom","Top 10%","Explicit",187.35906580289,0.0888355476246086
"226","United Kingdom","Top 10%","Implicit_cons",189.903488055934,0.132048581152314
"227","United Kingdom","Top 10%","Implicit_prod",308.34562094275,0.172049417503838
"228","United Kingdom","Top 10%","Null",NA,NA
"229","United States","Bottom 50%","Explicit",657.05713594658,0.265470899373285
"230","United States","Bottom 50%","Implicit_cons",5764.71459215301,0.132081092113056
"231","United States","Bottom 50%","Implicit_prod",32434.8125504602,0.184325419582678
"232","United States","Bottom 50%","Null",NA,NA
"233","United States","Next 40%","Explicit",1145.66195993555,0.462881984294556
"234","United States","Next 40%","Implicit_cons",20328.614660585,0.465769047642088
"235","United States","Next 40%","Implicit_prod",80474.5443926301,0.457332816023503
"236","United States","Next 40%","Null",NA,NA
"237","United States","Top 10%","Explicit",672.343660516928,0.271647116332159
"238","United States","Top 10%","Implicit_cons",17551.9382108187,0.402149860244856
"239","United States","Top 10%","Implicit_prod",63055.5893127988,0.358341764393819
"240","United States","Top 10%","Null",NA,NA
"241","Other HICs","Bottom 50%","Explicit",1004.20641504992,0.361348591843749
"242","Other HICs","Bottom 50%","Implicit_cons",3962.98065467822,0.371633929349419
"243","Other HICs","Bottom 50%","Implicit_prod",4320.77712723251,0.283902429403783
"244","Other HICs","Bottom 50%","Null",NA,NA
"245","Other HICs","Next 40%","Explicit",1221.35303011172,0.439485538989539
"246","Other HICs","Next 40%","Implicit_cons",4520.97969397231,0.4239610521935
"247","Other HICs","Next 40%","Implicit_prod",6870.7687281371,0.451453031792699
"248","Other HICs","Next 40%","Null",NA,NA
"249","Other HICs","Top 10%","Explicit",553.492245412398,0.199165869166712
"250","Other HICs","Top 10%","Implicit_cons",2179.70715236531,0.20440501845708
"251","Other HICs","Top 10%","Implicit_prod",4027.68680955148,0.264644538803518
"252","Other HICs","Top 10%","Null",NA,NA
"253","Other LICs","Bottom 50%","Explicit",47.8631216341822,0.146330122254822
