"","Country","SPScenario","npl_chg","npl_chgrate","Gini_chg","CO2_chg","CO2_chgrate","Ineq_chg","Ineq_chgrate"
"34","Indonesia","Null",7433708.16053623,26.4987966947466,0.00152322955591128,-76.4572467136716,-15.1501065043666,0.221494895160326,1.77231205116323
"35","Indonesia","SP_covid",-25699059.7228871,-91.6089445719931,-0.0529819813189403,-44.174399156843,-8.753216742147,-4.03801093696472,-32.3105209315605
"36","Indonesia","SP_current",-11170861.7676866,-39.820556375688,-0.042729276852191,-43.4340906837402,-8.60652362023017,-1.84578673884435,-14.7692346533009
"37","Ireland","Cash",-3207.61540080467,-0.483497272701611,0.0106310953814135,-0.134728955908272,-0.250081284591942,0.241984216408764,5.68471549208432
"38","Ireland","Null",1046.67210002418,0.157769259259576,0.00210178572659381,-0.183660836692525,-0.340907696193891,0.208475141596714,4.89751722131902
"39","Ireland","SP_covid",-1337.43246442918,-0.201596783957292,0.00177798681030134,-0.135787157572338,-0.25204549807317,0.196420857427897,4.61433686775124
"40","Ireland","SP_current",-1488.668261657,-0.224393187627184,0.00705364749890028,-0.135640087474485,-0.251772509399368,0.195252012052418,4.58687824457138
"41","Italy","Cash",-470395.083535537,-3.82778845958455,0.00198990620543416,-5.7507271957698,-1.43840285505956,-0.255737292638457,-2.39721203209027
"42","Italy","Null",46086.2242254987,0.375021600800517,-0.000721631127293509,-7.51033467689984,-1.87852535408949,0.00871800578044102,0.0817202220962397
"43","Italy","SP_covid",-271945.27939683,-2.21292491896345,-0.00289307209642581,-5.77580782863311,-1.44467615801572,-0.195388791919694,-1.83152155124926
"44","Italy","SP_current",-308834.525725232,-2.51310711967296,0.00318075491006947,-5.77278638084221,-1.44392041722314,-0.17884478413119,-1.67644250853153
"45","Japan","Cash",-292500.368675185,-16.4547171882606,0.00420635862763946,-13.0489760294847,-1.07573934173713,-0.0181503866684176,-0.408232219808233
"46","Japan","Null",49552.6504805293,2.78760280979778,0.000862989414106147,-20.7541275745821,-1.71094126351084,0.191462136327426,4.3063001549259
"47","Japan","SP_covid",-116545.796122354,-6.55632717100468,0.00109115795015979,-13.3512515722391,-1.10065851490835,0.0269905700444149,0.607062567008204
"48","Japan","SP_current",-247985.133507364,-13.9504960531795,0.00664401754236238,-13.1762717673168,-1.08623342440783,0.0058573044355219,0.131740465670982
"49","Luxembourg","Cash",-8392.61298421693,-8.08829383623896,0.00737163239752039,-0.0716285061585502,-0.550107252497354,-0.0704246556981349,-1.85159241846878
"50","Luxembourg","Null",999.156136239428,0.962926377444502,0.00315694652668189,-0.181368428277183,-1.39291035259731,-0.0841023931151272,-2.21120503782846
"51","Luxembourg","SP_covid",-8063.50799445146,-7.77112231108922,0.000725438825840669,-0.0705559111036962,-0.541869717606399,-0.157877134838913,-4.15087731731781
"52","Luxembourg","SP_current",-8324.65871886916,-8.02280361685292,0.0101488062506206,-0.0711040983224027,-0.546079797934884,-0.0886665122764843,-2.33120404034229
"53","Mexico","Cash",-2574217.26446182,-4.92374441448007,-0.00674647936716999,-1.01105656409493,-0.220218329624317,-1.32498190767127,-9.0204618823605
"54","Mexico","Null",274079.47413107,0.524235968155012,-0.0005585142818883,-8.10707051059853,-1.76580182493424,0.0488698285228448,0.332705241358803
"55","Mexico","SP_covid",-2343592.2900128,-4.4826245271032,-0.00539102294910021,-1.09103345060902,-0.237638103138623,-1.3483376731991,-9.17946767063387
"56","Mexico","SP_current",-2600596.87698184,-4.97420109954497,-0.00599759946594464,-1.09103344847267,-0.237638102673306,-1.2254270590801,-8.34269359607565
"57","Russian Federation","Cash",-6120124.02062935,-32.0869359581896,-0.0123425487348594,-32.1723032014565,-2.56540469625981,-1.20998061325075,-16.61987776175
"58","Russian Federation","Null",2058199.40008698,10.7908454333878,-0.000335469755350704,-79.2794562515965,-6.32170746717201,0.0121244827569909,0.166537727248589
"59","Russian Federation","SP_covid",-4654489.59876133,-24.402824055542,-0.0167515172913797,-32.4585881218013,-2.58823292445727,-0.943216531447646,-12.9556980366867
"60","Russian Federation","SP_current",-5890393.66781908,-30.8824925362216,-0.0118835946840991,-32.2244903162361,-2.56956607284828,-1.21287731493351,-16.6596658602968
"61","South Africa","Cash",-489764.541280504,-1.54790824144822,-0.0136977628130073,-0.403259007571535,-0.135915643232461,-8.45149036509517,-19.3636991872765
"62","South Africa","Null",176296.528390974,0.557187844839923,-0.00171507577572472,-7.09972550644409,-2.39291309273751,-0.0969237270530954,-0.222067566037472
"63","South Africa","SP_covid",-499525.91794559,-1.57875922005982,-0.0120639670381185,-1.22684282220871,-0.413498838698712,-6.06167173555072,-13.8882472781354
"64","South Africa","SP_current",-527149.16581108,-1.66606291279912,-0.0119783588841591,-0.785648756721685,-0.2647974480909,-7.50256464907578,-17.1895605061323
"65","Spain","Cash",-90638.5580221545,-0.899451155674666,0.00694186719442128,-0.170510776888648,-0.0613076293837706,-0.025940895771039,-0.511473371367746
"66","Spain","Null",22215.6807524767,0.220457167048382,8.21206770833804e-05,-0.362566083160061,-0.13036165490008,0.000319416542765794,0.00629789570263968
"67","Spain","SP_covid",-57395.42198571,-0.569563106055412,0.000464665139081999,-0.175404141520573,-0.0630670523995349,-0.0100955269425738,-0.199052231913166
"68","Spain","SP_current",-69842.6536421515,-0.693083130453859,0.0113598938747307,-0.173428613839576,-0.0623567458657546,-0.0157341608607906,-0.310228465976704
"69","Turkiye","Cash",-1990187.81817653,-17.6510409822903,-0.00291314539017051,-1.54473308990265,-0.359106263013346,-0.725946114079234,-8.29442489391044
"70","Turkiye","Null",527887.623762676,4.68185263520306,0.00135720969830261,-23.5945879130213,-5.48506686894297,-0.003089565694534,-0.0353003757594569
"71","Turkiye","SP_covid",-9422610.24879941,-83.5694390965034,-0.0498220584027277,-1.49163571609597,-0.346762642223336,-3.67966994306871,-42.0427155476611
"72","Turkiye","SP_current",-4425329.57818413,-39.2483930568109,-0.0303924075262012,-1.56130400145599,-0.362958526010458,-1.72425434664005,-19.7007710335971
"73","United Kingdom","Cash",-1637386.340272,-9.10992494653137,0.00628727605742566,-21.7919976205468,-3.74146334176271,-0.145668593708453,-2.82891159524055
"74","United Kingdom","Null",238011.788622785,1.32422597979111,0.00186994194234222,-25.2864654952496,-4.34142777273532,0.0255497316442002,0.49618061287955
"75","United Kingdom","SP_covid",-340332.10577688,-1.89350543867815,6.08759255408264e-05,-22.0239744782117,-3.78129139810722,-0.051201526634773,-0.994343315217453
