"","Group","Reg","SPScenario","value"
"188","D4","France","Cash",60.945406749389
"189","D4","United Kingdom","Cash",54.2637465599251
"190","D4","Indonesia","Cash",18.3823224231085
"191","D4","India","Cash",29.8199811306129
"192","D4","Ireland","Cash",58.739248067078
"193","D4","Italy","Cash",31.5635480563167
"194","D4","Japan","Cash",31.5442312022773
"195","D4","Luxembourg","Cash",26.04462230415
"196","D4","Mexico","Cash",29.5422192998444
"197","D4","Russian Federation","Cash",64.4089735694894
"198","D4","Turkiye","Cash",6.17669280777525
"199","D4","United States","Cash",75.0791960327387
"200","D4","South Africa","Cash",73.5293161067861
"201","D4","Belgium","SP_current",59.2062915804142
"202","D4","Brazil","SP_current",24.9640976967694
"203","D4","China","SP_current",51.7378767526358
"204","D4","Germany","SP_current",54.9207882992406
"205","D4","Denmark","SP_current",99.9302666351931
"206","D4","Spain","SP_current",47.8129929804563
"207","D4","Finland","SP_current",66.4620809363514
"208","D4","France","SP_current",68.4326808745657
"209","D4","United Kingdom","SP_current",85.0036798219806
"210","D4","Indonesia","SP_current",36.4003206904771
"211","D4","India","SP_current",86.3154961494676
"212","D4","Ireland","SP_current",93.3525679247486
"213","D4","Italy","SP_current",88.7465545832991
"214","D4","Japan","SP_current",32.3878691937425
"215","D4","Luxembourg","SP_current",72.7255838229017
"216","D4","Mexico","SP_current",32.166547757994
"217","D4","Russian Federation","SP_current",73.2815207207258
"218","D4","Turkiye","SP_current",15.8639373568901
"219","D4","United States","SP_current",75.0791960327387
"220","D4","South Africa","SP_current",92.9644762394364
"221","D4","Belgium","SP_covid",100
"222","D4","Brazil","SP_covid",33.9511731060269
"223","D4","China","SP_covid",100
"224","D4","Germany","SP_covid",100
"225","D4","Denmark","SP_covid",100
"226","D4","Spain","SP_covid",100
"227","D4","Finland","SP_covid",100
"228","D4","France","SP_covid",100
"229","D4","United Kingdom","SP_covid",100
"230","D4","Indonesia","SP_covid",100
"231","D4","India","SP_covid",100
"232","D4","Ireland","SP_covid",100
"233","D4","Italy","SP_covid",100
"234","D4","Japan","SP_covid",98.6464567128389
"235","D4","Luxembourg","SP_covid",100
"236","D4","Mexico","SP_covid",43.7465040339242
"237","D4","Russian Federation","SP_covid",100
"238","D4","Turkiye","SP_covid",41.245045961442
"239","D4","United States","SP_covid",100
"240","D4","South Africa","SP_covid",100
"241","D5","Belgium","Cash",7.39601003490908
"242","D5","Brazil","Cash",14.9712104591009
"243","D5","China","Cash",12.3656499055978
"244","D5","Germany","Cash",7.03297626280152
"245","D5","Denmark","Cash",21.4710229851945
"246","D5","Spain","Cash",23.7833421958517
"247","D5","Finland","Cash",13.8936066692977
"248","D5","France","Cash",56.867282805515
"249","D5","United Kingdom","Cash",42.9233684995346
"250","D5","Indonesia","Cash",15.4347804718665
"251","D5","India","Cash",27.603878419833
"252","D5","Ireland","Cash",46.2253012951862
"253","D5","Italy","Cash",25.6386530748362
"254","D5","Japan","Cash",25.6571054253225
"255","D5","Luxembourg","Cash",22.1984401088355
"256","D5","Mexico","Cash",24.364589403942
"257","D5","Russian Federation","Cash",59.6244024638818
"258","D5","Turkiye","Cash",3.92210035095398
"259","D5","United States","Cash",72.4726299078129
"260","D5","South Africa","Cash",63.65612838666
"261","D5","Belgium","SP_current",63.8689793178073
"262","D5","Brazil","SP_current",15.6418571999803
"263","D5","China","SP_current",45.5319951297171
"264","D5","Germany","SP_current",59.2585955717578
"265","D5","Denmark","SP_current",99.8696663332063
"266","D5","Spain","SP_current",45.6741373181304
"267","D5","Finland","SP_current",65.2998813949893
"268","D5","France","SP_current",65.768745289397
"269","D5","United Kingdom","SP_current",79.6199736401628
"270","D5","Indonesia","SP_current",32.2043775299539
"271","D5","India","SP_current",85.1059904485524
"272","D5","Ireland","SP_current",91.983758487559
"273","D5","Italy","SP_current",86.2257979673969
"274","D5","Japan","SP_current",31.0081681450073
"275","D5","Luxembourg","SP_current",65.44895231321
"276","D5","Mexico","SP_current",26.979011760089
"277","D5","Russian Federation","SP_current",68.5237176588102
"278","D5","Turkiye","SP_current",11.0114686756378
"279","D5","United States","SP_current",72.4726299078129
"280","D5","South Africa","SP_current",88.0725418428315
"281","D5","Belgium","SP_covid",100
"282","D5","Brazil","SP_covid",21.2729262105312
"283","D5","China","SP_covid",99.9917654862132
"284","D5","Germany","SP_covid",100
"285","D5","Denmark","SP_covid",100
"286","D5","Spain","SP_covid",100
"287","D5","Finland","SP_covid",100
"288","D5","France","SP_covid",100
"289","D5","United Kingdom","SP_covid",100
"290","D5","Indonesia","SP_covid",99.9819889690068
"291","D5","India","SP_covid",100
"292","D5","Ireland","SP_covid",100
"293","D5","Italy","SP_covid",100
"294","D5","Japan","SP_covid",100
"295","D5","Luxembourg","SP_covid",100
"296","D5","Mexico","SP_covid",36.6914561911535
"297","D5","Russian Federation","SP_covid",100
"298","D5","Turkiye","SP_covid",28.6298205639768
"299","D5","United States","SP_covid",100
"300","D5","South Africa","SP_covid",100
"301","D6","Belgium","Cash",6.65769396033818
"302","D6","Brazil","Cash",8.40991665174649
"303","D6","China","Cash",10.1977052172841
"304","D6","Germany","Cash",6.43508561043781
"305","D6","Denmark","Cash",14.0060621111984
"306","D6","Spain","Cash",19.5113380743517
"307","D6","Finland","Cash",10.9924556120599
"308","D6","France","Cash",51.1016230309733
"309","D6","United Kingdom","Cash",30.6321494579681
"310","D6","Indonesia","Cash",12.3802804245824
"311","D6","India","Cash",24.6266010643464
"312","D6","Ireland","Cash",32.6758910953266
"313","D6","Italy","Cash",21.9707933271794
"314","D6","Japan","Cash",21.959402532865
"315","D6","Luxembourg","Cash",26.1886623699618
"316","D6","Mexico","Cash",19.4737365513819
"317","D6","Russian Federation","Cash",55.096580641597
"318","D6","Turkiye","Cash",2.42834160335567
"319","D6","United States","Cash",69.715263099089
"320","D6","South Africa","Cash",52.9299755750167
"321","D6","Belgium","SP_current",67.6637063011134
"322","D6","Brazil","SP_current",8.90104719287243
"323","D6","China","SP_current",40.0428632088811
"324","D6","Germany","SP_current",59.4929408053188
"325","D6","Denmark","SP_current",99.8501651651987
"326","D6","Spain","SP_current",42.2557819170725
"327","D6","Finland","SP_current",68.0486133726715
"328","D6","France","SP_current",60.3628083781332
"329","D6","United Kingdom","SP_current",73.0939591195781
"330","D6","Indonesia","SP_current",27.6278910779533
"331","D6","India","SP_current",83.3550413668524
"332","D6","Ireland","SP_current",88.8630830017761
"333","D6","Italy","SP_current",83.4709150818844
"334","D6","Japan","SP_current",31.8801174491691
"335","D6","Luxembourg","SP_current",65.7615386663932
"336","D6","Mexico","SP_current",22.1094731170284
"337","D6","Russian Federation","SP_current",64.0842489621526
"338","D6","Turkiye","SP_current",7.55751147003698
"339","D6","United States","SP_current",70.0590089198432
"340","D6","South Africa","SP_current",81.7672440825078
"341","D6","Belgium","SP_covid",100
"342","D6","Brazil","SP_covid",12.1054242360536
"343","D6","China","SP_covid",96.6635448040662
"344","D6","Germany","SP_covid",100
"345","D6","Denmark","SP_covid",100
"346","D6","Spain","SP_covid",100
"347","D6","Finland","SP_covid",100
"348","D6","France","SP_covid",100
"349","D6","United Kingdom","SP_covid",100
"350","D6","Indonesia","SP_covid",93.6336941211406
