"","Group","Country","Scenario","Benefit_cum","Pop_cum","BottomYS"
"64","Bin117","Germany","SP_current",0.54333509121218,0.513403524209732,0.013403524209732
"65","Bin111","Italy","Cash",0.727979793121571,0.505644194277821,0.00564419427782148
"66","Bin111","Italy","Explicit",0.323932870616118,0.505644194277821,0.00564419427782148
"67","Bin111","Italy","SP_covid",0.505642950715444,0.505644194277821,0.00564419427782148
"68","Bin111","Italy","SP_current",0.530027260060122,0.505644194277821,0.00564419427782148
"69","Bin108","Japan","Cash",0.736648915068835,0.51596591864575,0.0159659186457501
"70","Bin108","Japan","Explicit",0.393342198743633,0.51596591864575,0.0159659186457501
"71","Bin108","Japan","SP_covid",0.562782195169977,0.51596591864575,0.0159659186457501
"72","Bin108","Japan","SP_current",0.649649504017102,0.51596591864575,0.0159659186457501
"73","Bin108","United Kingdom","Cash",0.788761306523039,0.51596591864575,0.01596591864575
"74","Bin108","United Kingdom","Explicit",0.563326314365846,0.51596591864575,0.01596591864575
"75","Bin108","United Kingdom","SP_covid",0.515964868004368,0.51596591864575,0.01596591864575
"76","Bin108","United Kingdom","SP_current",0.630279476313065,0.51596591864575,0.01596591864575
"77","Bin113","United States","Cash",0.570429216782118,0.500545521743518,0.000545521743517852
"78","Bin113","United States","Explicit",0.180607606596638,0.500545521743518,0.000545521743517852
"79","Bin113","United States","SP_covid",0.500545521743518,0.500545521743518,0.000545521743517852
"80","Bin113","United States","SP_current",0.566522429673209,0.500545521743518,0.000545521743517852
"81","Bin51","Other LICs","Cash",0.38680502301039,0.490652765433349,0.0093472345666506
"82","Bin51","Other LICs","Explicit",0.101756763328319,0.490652765433349,0.0093472345666506
"83","Bin51","Other LICs","SP_covid",0.378078024225023,0.490652765433349,0.0093472345666506
"84","Bin51","Other LICs","SP_current",0.378111516169946,0.490652765433349,0.0093472345666506
"85","Bin68","Other LMICs","Cash",0.648438295578238,0.505522699998568,0.00552269999856847
"86","Bin68","Other LMICs","Explicit",0.251641670487694,0.505522699998568,0.00552269999856847
