"","year","countryname","Group","TotalSub"
"193",2017,"Indonesia","Coal",16694.8768545556
"194",2017,"Indonesia","Fossil-based electricity",4468.39048860016
"195",2017,"Indonesia","Natural gas",6599.54583703267
"196",2017,"Indonesia","Petroleum",57246.949744234
"197",2017,"Ireland","Coal",1803.62515302889
"198",2017,"Ireland","Fossil-based electricity",0
"199",2017,"Ireland","Natural gas",89.0541942059397
"200",2017,"Ireland","Petroleum",157.599634590418
"201",2017,"Italy","Coal",2373.48786637214
"202",2017,"Italy","Fossil-based electricity",0
"203",2017,"Italy","Natural gas",42.783192176
"204",2017,"Italy","Petroleum",12300.1054502001
"205",2017,"Japan","Coal",41883.8335389583
"206",2017,"Japan","Fossil-based electricity",15574.6077456221
"207",2017,"Japan","Natural gas",4680.35091293395
"208",2017,"Japan","Petroleum",141214.632846659
"209",2017,"Luxembourg","Coal",14.5449799680392
"210",2017,"Luxembourg","Fossil-based electricity",481.281061759122
"211",2017,"Luxembourg","Natural gas",73.0057182030467
"212",2017,"Luxembourg","Petroleum",1780.44480499174
"213",2017,"Mexico","Coal",3908.67166823347
"214",2017,"Mexico","Fossil-based electricity",3530.52281238463
"215",2017,"Mexico","Natural gas",7194.15511541765
"216",2017,"Mexico","Petroleum",49293.6896924823
"217",2017,"Russian Federation","Coal",87603.4141419644
"218",2017,"Russian Federation","Fossil-based electricity",22989.6079446752
"219",2017,"Russian Federation","Natural gas",48668.013505256
"220",2017,"Russian Federation","Petroleum",113162.498083347
"221",2017,"South Africa","Coal",37572.8799355513
"222",2017,"South Africa","Fossil-based electricity",2048.69511872306
"223",2017,"South Africa","Natural gas",0
"224",2017,"South Africa","Petroleum",5091.50424752293
"225",2017,"Spain","Coal",5951.2400816416
"226",2017,"Spain","Fossil-based electricity",219.336943437
"227",2017,"Spain","Natural gas",744.439118206243
"228",2017,"Spain","Petroleum",10779.0892970533
"229",2017,"Turkiye","Coal",33301.0370090502
"230",2017,"Turkiye","Fossil-based electricity",2327.33057897262
"231",2017,"Turkiye","Natural gas",13710.9965440139
"232",2017,"Turkiye","Petroleum",8990.48746693214
"233",2017,"United Kingdom","Coal",6334.93151380015
"234",2017,"United Kingdom","Fossil-based electricity",0
"235",2017,"United Kingdom","Natural gas",11030.4100920488
"236",2017,"United Kingdom","Petroleum",29638.9985111221
"237",2017,"United States","Coal",149658.808289138
"238",2017,"United States","Fossil-based electricity",0
"239",2017,"United States","Natural gas",69382.2734971344
"240",2017,"United States","Petroleum",494266.529901501
"241",2018,"Belgium","Coal",1014.00416286034
"242",2018,"Belgium","Fossil-based electricity",0
"243",2018,"Belgium","Natural gas",543.346947270173
"244",2018,"Belgium","Petroleum",1183.02771365521
"245",2018,"Brazil","Coal",5777.57359693064
"246",2018,"Brazil","Fossil-based electricity",0
"247",2018,"Brazil","Natural gas",434.956742439688
"248",2018,"Brazil","Petroleum",53117.0501107121
"249",2018,"China","Coal",1070971.4874017
"250",2018,"China","Fossil-based electricity",38409.2748647516
"251",2018,"China","Natural gas",24189.435731706
"252",2018,"China","Petroleum",332907.590542699
"253",2018,"Denmark","Coal",304.633920271684
"254",2018,"Denmark","Fossil-based electricity",1424.65273017251
"255",2018,"Denmark","Natural gas",93.775798827
"256",2018,"Denmark","Petroleum",45.683836826
"257",2018,"Finland","Coal",789.449125021117
"258",2018,"Finland","Fossil-based electricity",0
"259",2018,"Finland","Natural gas",7.58576476927629
"260",2018,"Finland","Petroleum",0
"261",2018,"France","Coal",2521.98818678463
"262",2018,"France","Fossil-based electricity",0
"263",2018,"France","Natural gas",131.219081237
"264",2018,"France","Petroleum",9533.84460395362
"265",2018,"Germany","Coal",23794.0083185297
"266",2018,"Germany","Fossil-based electricity",1444.28408163
"267",2018,"Germany","Natural gas",2391.47856237487
"268",2018,"Germany","Petroleum",44946.6857723058
"269",2018,"India","Coal",126305.013069359
"270",2018,"India","Fossil-based electricity",18211.2586160605
"271",2018,"India","Natural gas",5683.33021845305
"272",2018,"India","Petroleum",81070.007533223
"273",2018,"Indonesia","Coal",19953.9194840484
"274",2018,"Indonesia","Fossil-based electricity",14424.1763255115
"275",2018,"Indonesia","Natural gas",5944.50906264774
"276",2018,"Indonesia","Petroleum",76656.3692175681
"277",2018,"Ireland","Coal",1699.40030432945
"278",2018,"Ireland","Fossil-based electricity",0
"279",2018,"Ireland","Natural gas",119.056990426964
"280",2018,"Ireland","Petroleum",727.233179729552
"281",2018,"Italy","Coal",2090.33629850245
"282",2018,"Italy","Fossil-based electricity",163.165555061304
"283",2018,"Italy","Natural gas",41.455432301
"284",2018,"Italy","Petroleum",13573.2345712426
"285",2018,"Japan","Coal",41501.3450481678
"286",2018,"Japan","Fossil-based electricity",19615.1410573346
"287",2018,"Japan","Natural gas",8306.20811450743
"288",2018,"Japan","Petroleum",137698.583999597
"289",2018,"Luxembourg","Coal",12.1693751231381
"290",2018,"Luxembourg","Fossil-based electricity",414.765809329186
"291",2018,"Luxembourg","Natural gas",97.8096474646664
"292",2018,"Luxembourg","Petroleum",2015.39275629962
"293",2018,"Mexico","Coal",3922.68041373288
"294",2018,"Mexico","Fossil-based electricity",4233.37158345144
"295",2018,"Mexico","Natural gas",9724.87158664326
"296",2018,"Mexico","Petroleum",51534.6520905457
"297",2018,"Russian Federation","Coal",99084.991810207
