"","Explicit","Implicit_prod","Implicit_cons","Null"
"DZA",40024.0313028631,27306.5579575568,27306.5579575568,0
"ECU",4100.41812023172,6851.39028706304,6851.39028706304,0
"EGY",24968.1735291976,48408.1147099913,48408.1147099913,0
"ESP",818.557108410724,22701.1939534685,22701.1939534685,0
"EST",1005.96938369036,118.844218193943,118.844218193943,0
"ETH",3609.2167606327,3755.87499950376,3755.87499950376,0
"FIN",1338.44233362454,145.841331941507,145.841331941507,0
"FRA",13016.4993351628,41843.8241464367,41843.8241464367,0
"GAB",6.16510324000546,361.229324137133,361.229324137133,0
"GBR",15322.5466918514,50353.1466625168,50353.1466625168,0
"GEO",2310.95713872,2364.18558909935,2364.18558909935,0
"GHA",279.29757368868,2965.49132350316,2965.49132350316,0
"GIN",267.534041452603,171.59315816926,171.59315816926,0
"GRC",1987.61767363165,6900.10405094039,6900.10405094039,0
"GTM",170.95517464284,3130.40520865193,3130.40520865193,0
"HND",288.214379754292,479.599697820457,479.599697820457,0
"HRV",695.300289160688,1688.0760896427,1688.0760896427,0
"HTI",164.64920280676,400.085600901344,400.085600901344,0
"HUN",5449.00418317971,9943.5312280679,9943.5312280679,0
"IDN",70758.2815793055,105265.686055484,105265.686055484,0
"IND",29017.2457862269,285318.011191426,285318.011191426,0
"IRL",177.449876589924,2866.66799568673,2866.66799568673,0
"IRN",56951.997789773,90637.6419194288,90637.6419194288,0
"IRQ",12866.5774638094,23769.3010753836,23769.3010753836,0
"ISR",247.467716239412,6375.28751786971,6375.28751786971,0
"ITA",7607.6219142797,48847.5813638074,48847.5813638074,0
"JAM",0,500.154867502784,500.154867502784,0
"JOR",445.588283047572,1983.77037602588,1983.77037602588,0
"JPN",30140.2197976194,250973.895254408,250973.895254408,0
"KAZ",15974.9882049297,33196.4691478625,33196.4691478625,0
"KEN",63.6098204277512,3454.49441579812,3454.49441579812,0
"KGZ",1061.91018761265,1385.22125343912,1385.22125343912,0
"KHM",156.289347948625,1279.67507847799,1279.67507847799,0
"KOR",54848.634074412,87970.2188684771,87970.2188684771,0
"LAO",97.4036858525639,1636.08561369277,1636.08561369277,0
"LBN",2088.42162214165,3030.3666293681,3030.3666293681,0
"LKA",573.684223799927,4488.55920415742,4488.55920415742,0
"LTU",776.381494189803,1563.79242960318,1563.79242960318,0
"LUX",497.377885936955,2707.34781240118,2707.34781240118,0
"LVA",227.015267768189,858.292802465744,858.292802465744,0
"MAR",1292.30433212915,11496.6287457312,11496.6287457312,0
"MDG",266.538418394446,561.245789949107,561.245789949107,0
"MEX",11564.2181980053,75731.9693367005,75731.9693367005,0
"MLI",324.206194936832,480.771300937097,480.771300937097,0
"MLT",0,485.193757960635,485.193757960635,0
"MNG",506.200273604058,3144.209566944,3144.209566944,0
"MOZ",3.6367596581241,464.730780755842,464.730780755842,0
"MUS",165.369483999842,490.960738812145,490.960738812145,0
"MWI",0.779820555325185,171.054702815277,171.054702815277,0
"MYS",16264.5930065239,57574.093896093,57574.093896093,0
"NAM",0,469.528600790461,469.528600790461,0
"NER",346.275999220703,209.947857649957,209.947857649957,0
"NGA",4242.24394656018,18787.0725850522,18787.0725850522,0
"NIC",45.5523856714416,440.084861473142,440.084861473142,0
"NLD",7474.79270431342,13698.8008491558,13698.8008491558,0
"NOR",1.12499388916108,1365.9642168014,1365.9642168014,0
"NPL",0,1139.66960871793,1139.66960871793,0
"PAK",14568.2491087015,25437.1380747268,25437.1380747268,0
"PAN",46.3406924953755,2438.05500322801,2438.05500322801,0
"PER",0,10559.5438821859,10559.5438821859,0
"PHL",1029.16130757996,16122.5031613048,16122.5031613048,0
"POL",8877.27054888274,41424.8291083367,41424.8291083367,0
"PRT",0,1460.02408578563,1460.02408578563,0
"PRY",216.617597512004,2103.23288430301,2103.23288430301,0
"ROU",1206.14587342587,14399.5514281491,14399.5514281491,0
"RUS",54462.0165629746,318437.206629736,318437.206629736,0
"RWA",88.3549589362587,242.732580568618,242.732580568618,0
"SDN",3324.6477683462,2867.26958097282,2867.26958097282,0
"SLV",368.044715744245,1471.26509623963,1471.26509623963,0
"SRB",2039.13659349307,7791.2565264015,7791.2565264015,0
"SVK",1946.04047933098,3923.31941778335,3923.31941778335,0
"SVN",103.606737306927,1266.23394672262,1266.23394672262,0
"SWE",754.411137184183,1078.14822984636,1078.14822984636,0
"TCD",74.6628395353473,237.299851870308,237.299851870308,0
"TGO",20.0187304345564,238.529407912073,238.529407912073,0
"THA",20453.5952773766,54645.0099281583,54645.0099281583,0
"TJK",823.938347334012,1124.80275534778,1124.80275534778,0
"TUN",3098.24242727826,4589.96313221173,4589.96313221173,0
"TUR",49244.5632344016,84789.6995381703,84789.6995381703,0
"TZA",496.596658193625,1554.87800168811,1554.87800168811,0
"UGA",0,674.927743240613,674.927743240613,0
"UKR",11342.1650836366,18172.1958928505,18172.1958928505,0
"URY",0,1321.48016515538,1321.48016515538,0
"USA",2689.43388292837,684627.997345382,684627.997345382,0
"UZB",2018.29961482787,11158.6974430566,11158.6974430566,0
"VEN",7408.13233719205,10064.133143195,10064.133143195,0
"VNM",5913.45118228799,45063.0120106393,45063.0120106393,0
"ZAF",4602.96132051936,50599.0341241296,50599.0341241296,0
"ZMB",254.853711321379,236.407568582523,236.407568582523,0
"ZWE",183.661646967497,456.464719207976,456.464719207976,0
