"","Group","Country","Scenario","Benefit_cum","Pop_cum"
"220","Bin3","South Africa","SP_current",0.000762756242632329,0.000597926528970689
"221","Bin3","Belgium","SP_covid",0,0
"222","Bin3","Brazil","SP_covid",0,0
"223","Bin3","China","SP_covid",0,0
"224","Bin3","Germany","SP_covid",0,0
"225","Bin3","Denmark","SP_covid",0,0
"226","Bin3","Spain","SP_covid",0,0
"227","Bin3","Finland","SP_covid",0,0
"228","Bin3","France","SP_covid",3.68549360467252e-05,3.68549360467252e-05
"229","Bin3","United Kingdom","SP_covid",0,0
"230","Bin3","Indonesia","SP_covid",0,0
"231","Bin3","India","SP_covid",0.000111504611150636,0.000111504611150636
"232","Bin3","Ireland","SP_covid",0,0
"233","Bin3","Italy","SP_covid",0,0
"234","Bin3","Japan","SP_covid",0,0
"235","Bin3","Luxembourg","SP_covid",0,0
"236","Bin3","Mexico","SP_covid",0,0
"237","Bin3","Russian Federation","SP_covid",4.76267428553043e-05,4.76267428553043e-05
"238","Bin3","Turkiye","SP_covid",5.18683739884972e-05,1.9597316727783e-05
"239","Bin3","United States","SP_covid",0,0
"240","Bin3","South Africa","SP_covid",0.000601956089540948,0.000597926528970689
"241","Bin4","Belgium","Cash",0,0
"242","Bin4","Brazil","Cash",0,0
"243","Bin4","China","Cash",0,0
"244","Bin4","Germany","Cash",0,0
"245","Bin4","Denmark","Cash",0,0
"246","Bin4","Spain","Cash",0,0
"247","Bin4","Finland","Cash",0,0
"248","Bin4","France","Cash",6.81537156083049e-05,3.92897966864488e-05
"249","Bin4","United Kingdom","Cash",0,0
"250","Bin4","Indonesia","Cash",0,2.45094692191356e-08
"251","Bin4","India","Cash",0.000180100096053842,0.000116898365840445
"252","Bin4","Ireland","Cash",0,0
"253","Bin4","Italy","Cash",0,0
"254","Bin4","Japan","Cash",0,0
"255","Bin4","Luxembourg","Cash",0,0
"256","Bin4","Mexico","Cash",0,7.3151946984789e-07
"257","Bin4","Russian Federation","Cash",7.15704050516384e-05,4.92466525961679e-05
"258","Bin4","Turkiye","Cash",8.66141183226313e-05,2.30628616415033e-05
"259","Bin4","United States","Cash",0,0
"260","Bin4","South Africa","Cash",0.00100667587007841,0.000630094129411004
"261","Bin4","Belgium","SP_current",0,0
"262","Bin4","Brazil","SP_current",0,0
"263","Bin4","China","SP_current",0,0
"264","Bin4","Germany","SP_current",0,0
"265","Bin4","Denmark","SP_current",0,0
"266","Bin4","Spain","SP_current",0,0
"267","Bin4","Finland","SP_current",0,0
"268","Bin4","France","SP_current",5.85357953065991e-05,3.92897966864488e-05
"269","Bin4","United Kingdom","SP_current",0,0
"270","Bin4","Indonesia","SP_current",0,2.45094692191356e-08
"271","Bin4","India","SP_current",0.000127452806861154,0.000116898365840445
"272","Bin4","Ireland","SP_current",0,0
"273","Bin4","Italy","SP_current",0,0
"274","Bin4","Japan","SP_current",0,0
"275","Bin4","Luxembourg","SP_current",0,0
"276","Bin4","Mexico","SP_current",0,7.3151946984789e-07
"277","Bin4","Russian Federation","SP_current",6.63310502218651e-05,4.92466525961679e-05
"278","Bin4","Turkiye","SP_current",7.45768697367606e-05,2.30628616415033e-05
"279","Bin4","United States","SP_current",0,0
"280","Bin4","South Africa","SP_current",0.000803791448226218,0.000630094129411004
"281","Bin4","Belgium","SP_covid",0,0
"282","Bin4","Brazil","SP_covid",0,0
"283","Bin4","China","SP_covid",0,0
"284","Bin4","Germany","SP_covid",0,0
"285","Bin4","Denmark","SP_covid",0,0
"286","Bin4","Spain","SP_covid",0,0
"287","Bin4","Finland","SP_covid",0,0
"288","Bin4","France","SP_covid",3.92897966864487e-05,3.92897966864488e-05
"289","Bin4","United Kingdom","SP_covid",0,0
"290","Bin4","Indonesia","SP_covid",0,2.45094692191356e-08
"291","Bin4","India","SP_covid",0.000116898365840445,0.000116898365840445
"292","Bin4","Ireland","SP_covid",0,0
"293","Bin4","Italy","SP_covid",0,0
"294","Bin4","Japan","SP_covid",0,0
"295","Bin4","Luxembourg","SP_covid",0,0
"296","Bin4","Mexico","SP_covid",0,7.3151946984789e-07
"297","Bin4","Russian Federation","SP_covid",4.92466525961679e-05,4.92466525961679e-05
"298","Bin4","Turkiye","SP_covid",6.10406592638556e-05,2.30628616415033e-05
"299","Bin4","United States","SP_covid",0,0
"300","Bin4","South Africa","SP_covid",0.000634340474633045,0.000630094129411004
"301","Bin5","Belgium","Cash",0,0
"302","Bin5","Brazil","Cash",0,0
"303","Bin5","China","Cash",0,0
"304","Bin5","Germany","Cash",0,0
"305","Bin5","Denmark","Cash",0,0
"306","Bin5","Spain","Cash",0,0
"307","Bin5","Finland","Cash",0,0
"308","Bin5","France","Cash",7.24870303230381e-05,4.17879004596716e-05
"309","Bin5","United Kingdom","Cash",0,0
"310","Bin5","Indonesia","Cash",8.83826170118335e-07,4.0849115365226e-07
"311","Bin5","India","Cash",0.00018903146555123,0.0001226954893392
"312","Bin5","Ireland","Cash",0,0
"313","Bin5","Italy","Cash",0,0
"314","Bin5","Japan","Cash",0,0
"315","Bin5","Luxembourg","Cash",0,0
"316","Bin5","Mexico","Cash",8.91858774297171e-06,4.33092777034944e-06
"317","Bin5","Russian Federation","Cash",7.40159555432653e-05,5.09294036631857e-05
"318","Bin5","Turkiye","Cash",0.000100803113545785,2.6840985116069e-05
"319","Bin5","United States","Cash",0,0
"320","Bin5","South Africa","Cash",0.00106183367590063,0.000664618260437476
"321","Bin5","Belgium","SP_current",0,0
"322","Bin5","Brazil","SP_current",0,0
"323","Bin5","China","SP_current",0,0
"324","Bin5","Germany","SP_current",0,0
"325","Bin5","Denmark","SP_current",0,0
"326","Bin5","Spain","SP_current",0,0
"327","Bin5","Finland","SP_current",0,0
"328","Bin5","France","SP_current",6.22575883281052e-05,4.17879004596716e-05
"329","Bin5","United Kingdom","SP_current",0,0
"330","Bin5","Indonesia","SP_current",7.33159800845905e-07,4.0849115365226e-07
"331","Bin5","India","SP_current",0.0001337733371468,0.0001226954893392
"332","Bin5","Ireland","SP_current",0,0
"333","Bin5","Italy","SP_current",0,0
"334","Bin5","Japan","SP_current",0,0
"335","Bin5","Luxembourg","SP_current",0,0
"336","Bin5","Mexico","SP_current",8.55080965624561e-06,4.33092777034944e-06
"337","Bin5","Russian Federation","SP_current",6.8597572709242e-05,5.09294036631857e-05
"338","Bin5","Turkiye","SP_current",8.67939409134367e-05,2.6840985116069e-05
"339","Bin5","United States","SP_current",0,0
"340","Bin5","South Africa","SP_current",0.000847832806463376,0.000664618260437476
"341","Bin5","Belgium","SP_covid",0,0
"342","Bin5","Brazil","SP_covid",0,0
"343","Bin5","China","SP_covid",0,0
"344","Bin5","Germany","SP_covid",0,0
"345","Bin5","Denmark","SP_covid",0,0
"346","Bin5","Spain","SP_covid",0,0
"347","Bin5","Finland","SP_covid",0,0
"348","Bin5","France","SP_covid",4.17879004596716e-05,4.17879004596716e-05
"349","Bin5","United Kingdom","SP_covid",0,0
"350","Bin5","Indonesia","SP_covid",4.8535016773213e-07,4.0849115365226e-07
"351","Bin5","India","SP_covid",0.0001226954893392,0.0001226954893392
"352","Bin5","Ireland","SP_covid",0,0
"353","Bin5","Italy","SP_covid",0,0
"354","Bin5","Japan","SP_covid",0,0
"355","Bin5","Luxembourg","SP_covid",0,0
"356","Bin5","Mexico","SP_covid",8.55080996533727e-06,4.33092777034944e-06
"357","Bin5","Russian Federation","SP_covid",5.09294036631857e-05,5.09294036631857e-05
"358","Bin5","Turkiye","SP_covid",7.10402487013051e-05,2.6840985116069e-05
"359","Bin5","United States","SP_covid",0,0
"360","Bin5","South Africa","SP_covid",0.000669097271497821,0.000664618260437476
"361","Bin6","Belgium","Cash",0,0
"362","Bin6","Brazil","Cash",0,0
"363","Bin6","China","Cash",0,0
"364","Bin6","Germany","Cash",0,0
"365","Bin6","Denmark","Cash",0,0
"366","Bin6","Spain","Cash",0,0
"367","Bin6","Finland","Cash",0,0
"368","Bin6","France","Cash",7.6957475250263e-05,4.43650581497687e-05
"369","Bin6","United Kingdom","Cash",0,0
"370","Bin6","Indonesia","Cash",2.92414828624258e-06,1.29491695707767e-06
"371","Bin6","India","Cash",0.000198672007284266,0.00012895291839727
"372","Bin6","Ireland","Cash",0,0
"373","Bin6","Italy","Cash",0,0
"374","Bin6","Japan","Cash",0,0
"375","Bin6","Luxembourg","Cash",0,0
"376","Bin6","Mexico","Cash",2.56847088117453e-05,1.10974828664424e-05
"377","Bin6","Russian Federation","Cash",7.65528336466128e-05,5.26749960563577e-05
"378","Bin6","Turkiye","Cash",0.000116166018445674,3.093168715148e-05
"379","Bin6","United States","Cash",0,0
