"","year","countryname","Group","TotalSub"
"194",2017,"Indonesia","Fossil-based electricity",4468.39048860016
"195",2017,"Indonesia","Natural gas",2110.53497338359
"196",2017,"Indonesia","Petroleum",6722.50943120791
"197",2017,"Ireland","Coal",0
"198",2017,"Ireland","Fossil-based electricity",0
"199",2017,"Ireland","Natural gas",72.792199517
"200",2017,"Ireland","Petroleum",0
"201",2017,"Italy","Coal",0
"202",2017,"Italy","Fossil-based electricity",0
"203",2017,"Italy","Natural gas",42.783192176
"204",2017,"Italy","Petroleum",12.926979356
"205",2017,"Japan","Coal",0
"206",2017,"Japan","Fossil-based electricity",15574.6077456221
"207",2017,"Japan","Natural gas",572.116523315
"208",2017,"Japan","Petroleum",99.481126268
"209",2017,"Luxembourg","Coal",0
"210",2017,"Luxembourg","Fossil-based electricity",481.281061759122
"211",2017,"Luxembourg","Natural gas",10.414155071907
"212",2017,"Luxembourg","Petroleum",0
"213",2017,"Mexico","Coal",0
"214",2017,"Mexico","Fossil-based electricity",3530.52281238463
"215",2017,"Mexico","Natural gas",48.3564352539447
"216",2017,"Mexico","Petroleum",833.54332405622
"217",2017,"Russian Federation","Coal",59.620367622
"218",2017,"Russian Federation","Fossil-based electricity",22989.6079446752
"219",2017,"Russian Federation","Natural gas",23.336616776
"220",2017,"Russian Federation","Petroleum",11702.16417308
"221",2017,"South Africa","Coal",0
"222",2017,"South Africa","Fossil-based electricity",2048.69511872306
"223",2017,"South Africa","Natural gas",0
"224",2017,"South Africa","Petroleum",0
"225",2017,"Spain","Coal",64.510972525
"226",2017,"Spain","Fossil-based electricity",219.336943437
"227",2017,"Spain","Natural gas",0
"228",2017,"Spain","Petroleum",0
"229",2017,"Turkiye","Coal",570.906414767235
"230",2017,"Turkiye","Fossil-based electricity",2327.33057897262
"231",2017,"Turkiye","Natural gas",5806.33469310652
"232",2017,"Turkiye","Petroleum",197.686422825
"233",2017,"United Kingdom","Coal",0
"234",2017,"United Kingdom","Fossil-based electricity",0
"235",2017,"United Kingdom","Natural gas",1020.54211422
"236",2017,"United Kingdom","Petroleum",2101.75718054
"237",2017,"United States","Coal",346.421493907
"238",2017,"United States","Fossil-based electricity",0
"239",2017,"United States","Natural gas",427.983354476
"240",2017,"United States","Petroleum",0
"241",2018,"Belgium","Coal",0
"242",2018,"Belgium","Fossil-based electricity",0
"243",2018,"Belgium","Natural gas",0
"244",2018,"Belgium","Petroleum",0
"245",2018,"Brazil","Coal",260.811447635451
"246",2018,"Brazil","Fossil-based electricity",0
"247",2018,"Brazil","Natural gas",335.220466208
"248",2018,"Brazil","Petroleum",2370.30422511588
"249",2018,"China","Coal",627.2927765
"250",2018,"China","Fossil-based electricity",38409.2748647516
"251",2018,"China","Natural gas",8310.14890218495
"252",2018,"China","Petroleum",7005.91085579604
"253",2018,"Denmark","Coal",0
"254",2018,"Denmark","Fossil-based electricity",1424.65273017251
"255",2018,"Denmark","Natural gas",93.775798827
"256",2018,"Denmark","Petroleum",45.683836826
"257",2018,"Finland","Coal",0
"258",2018,"Finland","Fossil-based electricity",0
"259",2018,"Finland","Natural gas",0
"260",2018,"Finland","Petroleum",0
"261",2018,"France","Coal",0
"262",2018,"France","Fossil-based electricity",0
"263",2018,"France","Natural gas",131.219081237
"264",2018,"France","Petroleum",63.859757374
"265",2018,"Germany","Coal",1525.11174773
"266",2018,"Germany","Fossil-based electricity",1444.28408163
"267",2018,"Germany","Natural gas",74.979076773
"268",2018,"Germany","Petroleum",54.835438787
"269",2018,"India","Coal",23.682606033
"270",2018,"India","Fossil-based electricity",18211.2586160605
"271",2018,"India","Natural gas",0.246577492
"272",2018,"India","Petroleum",6924.4493947546
"273",2018,"Indonesia","Coal",622.071516082726
"274",2018,"Indonesia","Fossil-based electricity",14424.1763255115
"275",2018,"Indonesia","Natural gas",1283.46096117568
"276",2018,"Indonesia","Petroleum",17286.3921951324
"277",2018,"Ireland","Coal",0
"278",2018,"Ireland","Fossil-based electricity",0
"279",2018,"Ireland","Natural gas",97.18112841
"280",2018,"Ireland","Petroleum",0
"281",2018,"Italy","Coal",0
"282",2018,"Italy","Fossil-based electricity",163.165555061304
"283",2018,"Italy","Natural gas",41.455432301
"284",2018,"Italy","Petroleum",17.566558204
"285",2018,"Japan","Coal",0
"286",2018,"Japan","Fossil-based electricity",19615.1410573346
"287",2018,"Japan","Natural gas",624.240971495
"288",2018,"Japan","Petroleum",114.703836493
"289",2018,"Luxembourg","Coal",0
"290",2018,"Luxembourg","Fossil-based electricity",414.765809329186
"291",2018,"Luxembourg","Natural gas",26.103074971668
"292",2018,"Luxembourg","Petroleum",0
"293",2018,"Mexico","Coal",0
"294",2018,"Mexico","Fossil-based electricity",4233.37158345144
"295",2018,"Mexico","Natural gas",64.3176037775571
"296",2018,"Mexico","Petroleum",1006.93153962158
"297",2018,"Russian Federation","Coal",66.995267993
"298",2018,"Russian Federation","Fossil-based electricity",41240.7620272518
"299",2018,"Russian Federation","Natural gas",53.907232499
"300",2018,"Russian Federation","Petroleum",19256.4441968697
"301",2018,"South Africa","Coal",0
"302",2018,"South Africa","Fossil-based electricity",3743.60502631078
"303",2018,"South Africa","Natural gas",0
"304",2018,"South Africa","Petroleum",0
"305",2018,"Spain","Coal",45.050869862
"306",2018,"Spain","Fossil-based electricity",252.463394784
"307",2018,"Spain","Natural gas",0
"308",2018,"Spain","Petroleum",0
"309",2018,"Turkiye","Coal",249.836761078781
"310",2018,"Turkiye","Fossil-based electricity",4102.36658159192
"311",2018,"Turkiye","Natural gas",15474.8807953942
"312",2018,"Turkiye","Petroleum",178.858288469
"313",2018,"United Kingdom","Coal",0
"314",2018,"United Kingdom","Fossil-based electricity",0
"315",2018,"United Kingdom","Natural gas",911.36166802
"316",2018,"United Kingdom","Petroleum",1847.58263238
"317",2018,"United States","Coal",381.794197208
"318",2018,"United States","Fossil-based electricity",0
"319",2018,"United States","Natural gas",1602.40864838845
"320",2018,"United States","Petroleum",530.021405812
"321",2019,"Belgium","Coal",0
"322",2019,"Belgium","Fossil-based electricity",0
"323",2019,"Belgium","Natural gas",0
"324",2019,"Belgium","Petroleum",1.0808229118735
"325",2019,"Brazil","Coal",312.395657876168
"326",2019,"Brazil","Fossil-based electricity",0
"327",2019,"Brazil","Natural gas",330.569199078472
"328",2019,"Brazil","Petroleum",2346.90222435956
"329",2019,"China","Coal",771.877017189381
"330",2019,"China","Fossil-based electricity",54781.1597726573
"331",2019,"China","Natural gas",4357.98274560362
"332",2019,"China","Petroleum",6946.05926276374
"333",2019,"Denmark","Coal",0
"334",2019,"Denmark","Fossil-based electricity",1954.45928310179
"335",2019,"Denmark","Natural gas",148.76404756879
"336",2019,"Denmark","Petroleum",75.5922610590473
"337",2019,"Finland","Coal",0
"338",2019,"Finland","Fossil-based electricity",1459.05403163878
"339",2019,"Finland","Natural gas",0
"340",2019,"Finland","Petroleum",0
"341",2019,"France","Coal",0
"342",2019,"France","Fossil-based electricity",0
"343",2019,"France","Natural gas",94.499763144479
"344",2019,"France","Petroleum",58.6314096241775
"345",2019,"Germany","Coal",1405.96564703906
"346",2019,"Germany","Fossil-based electricity",0
"347",2019,"Germany","Natural gas",75.5870416690238
"348",2019,"Germany","Petroleum",54.5033651071564
"349",2019,"India","Coal",11.481176680221
"350",2019,"India","Fossil-based electricity",19578.3551181981
"351",2019,"India","Natural gas",0.07329868657195
"352",2019,"India","Petroleum",5930.67625616719
"353",2019,"Indonesia","Coal",5423.49470464858
"354",2019,"Indonesia","Fossil-based electricity",13797.2705739925
"355",2019,"Indonesia","Natural gas",2381.85240614279
"356",2019,"Indonesia","Petroleum",12984.3900523831
"357",2019,"Ireland","Coal",0
"358",2019,"Ireland","Fossil-based electricity",0
"359",2019,"Ireland","Natural gas",47.0805204755257
"360",2019,"Ireland","Petroleum",0
"361",2019,"Italy","Coal",0
"362",2019,"Italy","Fossil-based electricity",0
"363",2019,"Italy","Natural gas",51.8606222383653
"364",2019,"Italy","Petroleum",16.2544064935909
"365",2019,"Japan","Coal",0
"366",2019,"Japan","Fossil-based electricity",19599.1023353962
"367",2019,"Japan","Natural gas",446.523042917636
"368",2019,"Japan","Petroleum",94.040292497941
"369",2019,"Luxembourg","Coal",0
"370",2019,"Luxembourg","Fossil-based electricity",382.204398929869
"371",2019,"Luxembourg","Natural gas",0
"372",2019,"Luxembourg","Petroleum",0
"373",2019,"Mexico","Coal",0
"374",2019,"Mexico","Fossil-based electricity",3319.13883012077
"375",2019,"Mexico","Natural gas",488.121282715701
"376",2019,"Mexico","Petroleum",2163.7472522786
"377",2019,"Russian Federation","Coal",64.3382888510537
"378",2019,"Russian Federation","Fossil-based electricity",28788.3274550893
"379",2019,"Russian Federation","Natural gas",1353.54032801745
"380",2019,"Russian Federation","Petroleum",25017.4059132854
"381",2019,"South Africa","Coal",0
"382",2019,"South Africa","Fossil-based electricity",4446.49250713865
"383",2019,"South Africa","Natural gas",0
"384",2019,"South Africa","Petroleum",18.689624624728
"385",2019,"Spain","Coal",23.701863953014
"386",2019,"Spain","Fossil-based electricity",251.622045871492
"387",2019,"Spain","Natural gas",0
"388",2019,"Spain","Petroleum",0
"389",2019,"Turkiye","Coal",264.385507790371
"390",2019,"Turkiye","Fossil-based electricity",2376.64488624718
"391",2019,"Turkiye","Natural gas",3142.69147459632
"392",2019,"Turkiye","Petroleum",157.441142921886
"393",2019,"United Kingdom","Coal",0
"394",2019,"United Kingdom","Fossil-based electricity",0
"395",2019,"United Kingdom","Natural gas",1014.49356017041
"396",2019,"United Kingdom","Petroleum",2082.52284880434
"397",2019,"United States","Coal",334.144046329446
"398",2019,"United States","Fossil-based electricity",0
"399",2019,"United States","Natural gas",1431.00388818754
